x=-9.25781, y=2.22656, f1=1
x=-9.25781, y=2.30469, f1=1
x=-9.33594, y=2.38281, f1=1
x=-9.33594, y=2.46094, f1=1
x=-9.25781, y=2.38281, f1=1
x=-9.25781, y=2.46094, f1=1
x=-9.17969, y=2.22656, f1=1
x=-9.17969, y=2.30469, f1=1
x=-9.10156, y=2.22656, f1=1
x=-9.10156, y=2.30469, f1=1
x=-9.17969, y=2.38281, f1=1
x=-9.17969, y=2.46094, f1=1
x=-9.10156, y=2.38281, f1=1
x=-9.10156, y=2.46094, f1=1
x=-9.02344, y=1.91406, f1=1
x=-9.02344, y=1.99219, f1=1
x=-8.94531, y=1.91406, f1=1
x=-8.94531, y=1.99219, f1=1
x=-9.02344, y=2.07031, f1=1
x=-9.02344, y=2.14844, f1=1
x=-8.94531, y=2.07031, f1=1
x=-8.94531, y=2.14844, f1=1
x=-8.86719, y=1.91406, f1=1
x=-8.86719, y=1.99219, f1=1
x=-8.78906, y=1.91406, f1=1
x=-8.78906, y=1.99219, f1=1
x=-8.86719, y=2.07031, f1=1
x=-8.86719, y=2.14844, f1=1
x=-8.78906, y=2.07031, f1=1
x=-8.78906, y=2.14844, f1=1
x=-9.02344, y=2.22656, f1=1
x=-9.02344, y=2.30469, f1=1
x=-8.94531, y=2.22656, f1=1
x=-8.94531, y=2.30469, f1=1
x=-9.02344, y=2.38281, f1=1
x=-9.02344, y=2.46094, f1=1
x=-8.94531, y=2.38281, f1=1
x=-8.94531, y=2.46094, f1=1
x=-8.86719, y=2.22656, f1=1
x=-8.86719, y=2.30469, f1=1
x=-8.78906, y=2.22656, f1=1
x=-8.78906, y=2.30469, f1=1
x=-8.86719, y=2.38281, f1=1
x=-8.86719, y=2.46094, f1=1
x=-8.78906, y=2.38281, f1=1
x=-8.78906, y=2.46094, f1=1
x=-1.05469, y=19.1797, f1=1
x=-0.976562, y=19.1016, f1=1
x=-0.976562, y=19.1797, f1=1
x=-1.05469, y=19.2578, f1=1
x=-1.05469, y=19.3359, f1=1
x=-0.976562, y=19.2578, f1=1
x=-0.976562, y=19.3359, f1=1
x=-0.898438, y=18.7891, f1=1
x=-0.898438, y=18.8672, f1=1
x=-0.820312, y=18.7891, f1=1
x=-0.820312, y=18.8672, f1=1
x=-0.898438, y=18.9453, f1=1
x=-0.898438, y=19.0234, f1=1
x=-0.820312, y=18.9453, f1=1
x=-0.820312, y=19.0234, f1=1
x=-0.742188, y=18.7891, f1=1
x=-0.742188, y=18.8672, f1=1
x=-0.664062, y=18.7891, f1=1
x=-0.664062, y=18.8672, f1=1
x=-0.742188, y=18.9453, f1=1
x=-0.742188, y=19.0234, f1=1
x=-0.664062, y=18.9453, f1=1
x=-0.664062, y=19.0234, f1=1
x=-0.898438, y=19.1016, f1=1
x=-0.898438, y=19.1797, f1=1
x=-0.820312, y=19.1016, f1=1
x=-0.820312, y=19.1797, f1=1
x=-0.898438, y=19.2578, f1=1
x=-8.71094, y=0.0390625, f1=1
x=-8.71094, y=0.117188, f1=1
x=-8.63281, y=0.0390625, f1=1
x=-8.63281, y=0.117188, f1=1
x=-8.71094, y=0.195312, f1=1
x=-8.71094, y=0.273438, f1=1
x=-8.63281, y=0.195312, f1=1
x=-8.63281, y=0.273438, f1=1
x=-8.55469, y=0.0390625, f1=1
x=-8.55469, y=0.117188, f1=1
x=-8.47656, y=0.0390625, f1=1
x=-8.47656, y=0.117188, f1=1
x=-8.55469, y=0.195312, f1=1
x=-8.55469, y=0.273438, f1=1
x=-8.47656, y=0.195312, f1=1
x=-8.47656, y=0.273438, f1=1
x=-8.71094, y=0.351562, f1=1
x=-8.71094, y=0.429688, f1=1
x=-8.63281, y=0.351562, f1=1
x=-0.898438, y=19.3359, f1=1
